Ozone	Solar.R	Wind	Temp	Month	Day	month.text
41	190	7.4	67	5	1	May
36	118	8	72	5	2	May
12	149	12.6	74	5	3	May
18	313	11.5	62	5	4	May
		14.3	56	5	5	May
28		14.9	66	5	6	May
23	299	8.6	65	5	7	May
19	99	13.8	59	5	8	May
8	19	20.1	61	5	9	May
	194	8.6	69	5	10	May
7		6.9	74	5	11	May
16	256	9.7	69	5	12	May
11	290	9.2	66	5	13	May
14	274	10.9	68	5	14	May
18	65	13.2	58	5	15	May
14	334	11.5	64	5	16	May
34	307	12	66	5	17	May
6	78	18.4	57	5	18	May
30	322	11.5	68	5	19	May
11	44	9.7	62	5	20	May
1	8	9.7	59	5	21	May
11	320	16.6	73	5	22	May
4	25	9.7	61	5	23	May
32	92	12	61	5	24	May
	66	16.6	57	5	25	May
	266	14.9	58	5	26	May
		8	57	5	27	May
23	13	12	67	5	28	May
45	252	14.9	81	5	29	May
115	223	5.7	79	5	30	May
37	279	7.4	76	5	31	May
	286	8.6	78	6	1	June
	287	9.7	74	6	2	June
	242	16.1	67	6	3	June
	186	9.2	84	6	4	June
	220	8.6	85	6	5	June
	264	14.3	79	6	6	June
29	127	9.7	82	6	7	June
	273	6.9	87	6	8	June
71	291	13.8	90	6	9	June
39	323	11.5	87	6	10	June
	259	10.9	93	6	11	June
	250	9.2	92	6	12	June
23	148	8	82	6	13	June
	332	13.8	80	6	14	June
	322	11.5	79	6	15	June
21	191	14.9	77	6	16	June
37	284	20.7	72	6	17	June
20	37	9.2	65	6	18	June
12	120	11.5	73	6	19	June
13	137	10.3	76	6	20	June
	150	6.3	77	6	21	June
	59	1.7	76	6	22	June
	91	4.6	76	6	23	June
	250	6.3	76	6	24	June
	135	8	75	6	25	June
	127	8	78	6	26	June
	47	10.3	73	6	27	June
	98	11.5	80	6	28	June
	31	14.9	77	6	29	June
	138	8	83	6	30	June
135	269	4.1	84	7	1	July
49	248	9.2	85	7	2	July
32	236	9.2	81	7	3	July
	101	10.9	84	7	4	July
64	175	4.6	83	7	5	July
40	314	10.9	83	7	6	July
77	276	5.1	88	7	7	July
97	267	6.3	92	7	8	July
97	272	5.7	92	7	9	July
85	175	7.4	89	7	10	July
	139	8.6	82	7	11	July
10	264	14.3	73	7	12	July
27	175	14.9	81	7	13	July
	291	14.9	91	7	14	July
7	48	14.3	80	7	15	July
48	260	6.9	81	7	16	July
35	274	10.3	82	7	17	July
61	285	6.3	84	7	18	July
79	187	5.1	87	7	19	July
63	220	11.5	85	7	20	July
16	7	6.9	74	7	21	July
	258	9.7	81	7	22	July
	295	11.5	82	7	23	July
80	294	8.6	86	7	24	July
108	223	8	85	7	25	July
20	81	8.6	82	7	26	July
52	82	12	86	7	27	July
82	213	7.4	88	7	28	July
50	275	7.4	86	7	29	July
64	253	7.4	83	7	30	July
59	254	9.2	81	7	31	July
39	83	6.9	81	8	1	August
9	24	13.8	81	8	2	August
16	77	7.4	82	8	3	August
78		6.9	86	8	4	August
35		7.4	85	8	5	August
66		4.6	87	8	6	August
122	255	4	89	8	7	August
89	229	10.3	90	8	8	August
110	207	8	90	8	9	August
	222	8.6	92	8	10	August
	137	11.5	86	8	11	August
44	192	11.5	86	8	12	August
28	273	11.5	82	8	13	August
65	157	9.7	80	8	14	August
	64	11.5	79	8	15	August
22	71	10.3	77	8	16	August
59	51	6.3	79	8	17	August
23	115	7.4	76	8	18	August
31	244	10.9	78	8	19	August
44	190	10.3	78	8	20	August
21	259	15.5	77	8	21	August
9	36	14.3	72	8	22	August
	255	12.6	75	8	23	August
45	212	9.7	79	8	24	August
168	238	3.4	81	8	25	August
73	215	8	86	8	26	August
	153	5.7	88	8	27	August
76	203	9.7	97	8	28	August
118	225	2.3	94	8	29	August
84	237	6.3	96	8	30	August
85	188	6.3	94	8	31	August
96	167	6.9	91	9	1	September
78	197	5.1	92	9	2	September
73	183	2.8	93	9	3	September
91	189	4.6	93	9	4	September
47	95	7.4	87	9	5	September
32	92	15.5	84	9	6	September
20	252	10.9	80	9	7	September
23	220	10.3	78	9	8	September
21	230	10.9	75	9	9	September
24	259	9.7	73	9	10	September
44	236	14.9	81	9	11	September
21	259	15.5	76	9	12	September
28	238	6.3	77	9	13	September
9	24	10.9	71	9	14	September
13	112	11.5	71	9	15	September
46	237	6.9	78	9	16	September
18	224	13.8	67	9	17	September
13	27	10.3	76	9	18	September
24	238	10.3	68	9	19	September
16	201	8	82	9	20	September
13	238	12.6	64	9	21	September
23	14	9.2	71	9	22	September
36	139	10.3	81	9	23	September
7	49	10.3	69	9	24	September
14	20	16.6	63	9	25	September
30	193	6.9	70	9	26	September
	145	13.2	77	9	27	September
14	191	14.3	75	9	28	September
18	131	8	76	9	29	September
20	223	11.5	68	9	30	September
